EV ID,Time of Arrival,Time of Departure,Initial SOC,Desired SOC,Duration of Stay,Maximum Battery Capacity
V1,06:41,16:43,31,80,10:02,41
V2,07:14,16:42,13,80,09:28,42
V3,09:46,18:08,59,80,08:22,46
V4,08:57,15:36,32,80,06:39,66
V5,08:50,16:11,22,80,07:21,96
V6,09:36,17:53,42,80,08:17,53
V7,07:56,14:02,25,80,06:06,72
V8,11:52,20:21,60,80,08:29,66
V9,07:02,14:23,31,80,07:21,94
V10,07:15,10:32,49,80,03:17,48
V11,06:06,08:06,49,80,02:00,54
V12,08:34,16:38,26,80,08:04,48
V13,07:57,16:01,13,80,08:04,79
V14,05:22,13:28,23,80,08:06,65
V15,11:52,19:58,40,80,08:06,89
V16,06:53,14:57,48,80,08:04,56
V17,09:32,11:31,36,80,01:59,41
V18,10:00,11:58,46,80,01:58,50
V19,07:02,15:08,20,80,08:06,64
V20,09:20,11:20,36,80,02:00,41
V21,08:25,16:31,42,80,08:06,74
V22,09:48,17:53,11,80,08:05,100
V23,07:27,09:26,48,80,01:59,53
V24,12:38,20:44,50,80,08:06,56
V25,09:25,11:27,42,80,02:02,47
V26,12:30,20:37,21,80,08:07,52
V27,07:02,15:06,10,80,08:04,98
V28,09:00,10:58,48,80,01:58,52
V29,14:54,22:59,31,80,08:05,47
V30,04:35,12:40,16,80,08:05,85
V31,16:37,18:36,47,80,01:59,51
V32,07:55,16:01,57,80,08:06,70
V33,09:33,17:38,43,80,08:05,89
V34,13:26,15:26,46,80,02:00,50
V35,06:51,14:56,23,80,08:05,96
V36,09:56,18:01,49,80,08:05,70
V37,15:18,25:53,24,80,10:35,87
V38,11:52,17:23,27,80,05:31,41
V39,18:35,25:23,53,80,06:48,48
V40,14:57,20:59,24,80,06:02,95
V41,19:44,22:25,30,80,02:41,50
V42,10:34,14:03,47,80,03:29,71
V43,06:36,12:04,28,80,05:28,97
V44,16:21,21:43,53,80,05:22,48
V45,16:45,24:39,34,80,07:54,57
V46,15:01,17:55,35,80,02:54,59
V47,12:52,14:50,46,80,01:58,50
V48,12:20,18:16,32,80,05:56,59
V49,11:20,14:50,37,80,03:30,74
V50,17:15,22:01,58,80,04:46,68
V51,12:57,19:30,47,80,06:33,59
V52,09:11,14:21,46,80,05:10,68
V53,20:09,24:35,45,80,04:26,55
