EV ID,Time of Arrival,Time of Departure,Initial SOC,Desired SOC,Duration of Stay,Maximum Battery Capacity
V1,08:50,17:31,40,80,08:41,79
V2,07:52,15:50,24,80,07:58,49
V3,08:29,16:52,11,80,08:23,55
V4,06:57,15:19,17,80,08:22,40
V5,07:18,17:09,52,80,09:51,96
V6,08:31,17:54,36,80,09:23,44
V7,05:42,12:39,15,80,06:57,86
V8,07:56,17:08,13,80,09:12,55
V9,08:37,19:33,15,80,10:56,82
V10,09:12,16:16,29,80,07:04,62
V11,08:02,15:32,39,80,07:30,78
V12,06:35,13:19,46,80,06:44,90
V13,11:56,20:06,17,80,08:10,91
V14,07:03,15:56,42,80,08:53,84
V15,08:06,16:11,17,80,08:05,43
V16,08:19,15:52,15,80,07:33,85
V17,06:11,14:38,60,80,08:27,85
V18,07:50,15:19,43,80,07:29,43
V19,08:23,18:46,41,80,10:23,95
V20,07:32,16:12,46,80,08:40,40
V21,08:45,18:06,34,80,09:21,91
V22,06:22,14:18,30,80,07:56,76
V23,07:01,13:17,22,80,06:16,82
V24,08:43,17:18,39,80,08:35,80
V25,08:16,15:18,60,80,07:02,43
V26,08:33,17:45,13,80,09:12,99
V27,06:31,15:11,38,80,08:40,72
V28,08:57,16:32,41,80,07:35,67
V29,07:04,15:49,21,80,08:45,80
V30,07:46,15:22,41,80,07:36,86
V31,09:14,18:19,40,80,09:05,90
V32,08:12,17:58,51,80,09:46,79
V33,06:00,13:40,13,80,07:40,58
V34,07:42,16:34,35,80,08:52,57
V35,06:50,15:50,46,80,09:00,55
V36,08:11,16:23,48,80,08:12,68
V37,08:29,17:26,50,80,08:57,40
V38,08:34,16:12,54,80,07:38,97
V39,08:32,19:11,23,80,10:39,48
V40,07:19,14:22,10,80,07:03,73
V41,09:14,17:20,29,80,08:06,95
V42,07:03,16:41,10,80,09:38,63
V43,06:43,16:10,14,80,09:27,61
V44,06:18,15:18,12,80,09:00,77
V45,06:55,16:35,47,80,09:40,96
V46,07:35,16:09,43,80,08:34,82
V47,07:14,14:54,31,80,07:40,86
V48,09:20,16:05,10,80,06:45,59
