EV ID,Time of Arrival,Time of Departure,Initial SOC,Desired SOC,Duration of Stay,Maximum Battery Capacity
V1,07:28,17:13,41,80,09:45,64
V2,07:30,17:44,37,80,10:14,73
V3,08:35,17:42,58,80,09:07,48
V4,09:51,18:08,41,80,08:17,72
V5,10:13,19:39,27,80,09:26,44
V6,06:08,13:49,47,80,07:41,74
V7,06:25,15:08,25,80,08:43,70
V8,08:46,16:57,53,80,08:11,44
V9,09:24,19:13,24,80,09:49,81
V10,06:53,17:22,35,80,10:29,45
V11,06:51,16:17,29,80,09:26,59
V12,08:58,16:17,46,80,07:19,43
V13,08:48,16:54,13,80,08:06,70
V14,10:19,19:32,45,80,09:13,67
V15,07:07,16:13,34,80,09:06,63
V16,07:18,15:32,53,80,08:14,74
V17,09:15,18:14,13,80,08:59,84
V18,08:18,15:43,41,80,07:25,69
V19,06:20,15:15,25,80,08:55,89
V20,08:28,15:00,52,80,06:32,92
V21,08:00,16:36,21,80,08:36,87
V22,04:57,13:28,38,80,08:31,47
V23,08:00,17:10,41,80,09:10,66
V24,08:53,18:30,43,80,09:37,96
V25,08:37,16:24,58,80,07:47,100
V26,06:18,16:24,20,80,10:06,100
V27,07:49,17:46,26,80,09:57,54
V28,06:48,16:48,52,80,10:00,72
V29,09:08,17:13,27,80,08:05,45
V30,08:04,19:00,30,80,10:56,90
V31,09:32,17:49,16,80,08:17,76
V32,08:27,17:35,17,80,09:08,88
V33,06:40,16:08,22,80,09:28,64
V34,09:22,19:00,21,80,09:38,85
V35,07:48,17:31,55,80,09:43,52
V36,08:36,19:02,32,80,10:26,51
V37,05:44,12:54,40,80,07:10,97
V38,07:59,16:13,12,80,08:14,46
V39,06:03,16:01,33,80,09:58,77
V40,08:10,18:57,25,80,10:47,75
V41,06:08,15:33,40,80,09:25,92
V42,08:45,17:53,19,80,09:08,45
V43,07:39,14:53,18,80,07:14,97
V44,08:42,18:07,57,80,09:25,83
V45,04:44,13:48,20,80,09:04,74
V46,08:17,18:11,30,80,09:54,75
V47,08:32,18:38,38,80,10:06,91
V48,09:15,17:49,15,80,08:34,98
V49,09:27,18:37,26,80,09:10,76
V50,07:15,17:01,50,80,09:46,93
V51,07:43,15:03,26,80,07:20,91
V52,09:53,18:42,19,80,08:49,82
V53,07:54,15:57,43,80,08:03,80
V54,09:27,19:31,16,80,10:04,93
V55,09:11,16:34,21,80,07:23,54
V56,09:52,19:29,20,80,09:37,100
V57,06:50,15:17,31,80,08:27,92
V58,07:27,14:57,42,80,07:30,77
V59,09:33,18:50,22,80,09:17,42
V60,09:04,14:26,21,80,05:22,61
V61,07:55,14:24,16,80,06:29,52
V62,09:36,18:56,48,80,09:20,82
V63,07:01,14:40,51,80,07:39,57
V64,08:00,17:33,30,80,09:33,96
V65,11:40,19:33,10,80,07:53,97
V66,07:53,17:46,39,80,09:53,69
V67,09:33,17:29,40,80,07:56,71
V68,08:38,15:09,22,80,06:31,87
V69,10:27,19:47,17,80,09:20,74
V70,07:20,16:11,28,80,08:51,50
V71,07:34,14:22,23,80,06:48,82
V72,09:02,14:26,32,80,05:24,98
V73,09:25,16:16,13,80,06:51,95
V74,08:58,16:30,53,80,07:32,46
V75,07:13,15:47,12,80,08:34,78
V76,10:26,18:09,27,80,07:43,97
V77,08:59,16:13,57,80,07:14,82
V78,09:08,16:36,48,80,07:28,92
V79,08:17,16:17,20,80,08:00,48
V80,08:14,16:47,37,80,08:33,89
V81,08:23,14:26,55,80,06:03,65
V82,08:21,17:10,21,80,08:49,74
V83,09:07,18:42,60,80,09:35,50
V84,07:52,16:44,38,80,08:52,98
V85,10:04,19:11,28,80,09:07,72
V86,09:00,17:10,57,80,08:10,73
V87,08:25,17:19,12,80,08:54,96
V88,07:47,15:49,29,80,08:02,44
V89,11:01,18:40,60,80,07:39,75
V90,09:17,17:59,16,80,08:42,84
V91,09:37,15:43,59,80,06:06,64
V92,08:08,17:16,45,80,09:08,47
V93,07:48,09:47,35,80,01:59,40
V94,07:19,15:24,55,80,08:05,78
V95,11:09,19:14,40,80,08:05,86
V96,06:14,14:19,11,80,08:05,92
V97,08:00,16:07,40,80,08:07,76
V98,05:51,13:58,48,80,08:07,72
V99,07:22,09:24,39,80,02:02,44
V100,06:47,14:55,53,80,08:08,75
V101,08:00,16:07,45,80,08:07,57
V102,13:01,15:01,41,80,02:00,45
V103,09:11,17:17,59,80,08:06,45
V104,08:19,16:25,36,80,08:06,100
V105,13:01,21:05,16,80,08:04,76
V106,07:45,15:52,48,80,08:07,84
V107,07:38,15:42,25,80,08:04,52
V108,06:31,14:36,14,80,08:05,96
V109,10:12,18:16,21,80,08:04,90
V110,07:30,15:36,49,80,08:06,52
V111,06:47,14:53,50,80,08:06,66
V112,16:27,18:25,37,80,01:58,41
V113,06:41,14:47,14,80,08:06,98
V114,08:05,10:04,48,80,01:59,53
V115,07:49,15:53,21,80,08:04,86
V116,09:03,17:10,50,80,08:07,44
V117,07:17,09:15,54,80,01:58,42
V118,12:27,20:33,48,80,08:06,100
V119,07:14,15:21,23,80,08:07,50
V120,11:27,19:33,37,80,08:06,42
V121,06:59,15:04,12,80,08:05,65
V122,06:26,14:31,42,80,08:05,45
V123,08:37,16:41,49,80,08:04,45
V124,05:57,14:02,17,80,08:05,47
V125,09:23,17:27,51,80,08:04,53
V126,10:55,19:01,22,80,08:06,91
V127,16:40,23:06,25,80,06:26,99
V128,18:55,22:23,44,80,03:28,83
V129,11:49,17:03,54,80,05:14,51
V130,13:41,22:45,40,80,09:04,80
V131,16:51,21:48,56,80,04:57,43
V132,13:38,20:32,10,80,06:54,51
V133,14:24,23:05,26,80,08:41,99
V134,13:41,16:49,23,80,03:08,42
V135,10:52,16:48,60,80,05:56,77
V136,13:04,22:53,15,80,09:49,81
V137,11:45,16:30,21,80,04:45,76
V138,15:41,23:19,14,80,07:38,61
V139,23:49,37:32,27,80,13:43,89
V140,13:27,16:50,56,80,03:23,53
V141,14:31,16:26,47,80,01:55,50
V142,12:22,17:53,55,80,05:31,59
V143,17:31,21:42,42,80,04:11,96
V144,17:41,21:23,43,80,03:42,87
V145,20:03,22:47,38,80,02:44,58
