EV ID,Time of Arrival,Time of Departure,Initial SOC,Desired SOC,Duration of Stay,Maximum Battery Capacity
V1,08:49,15:55,33,80,07:06,60
V2,08:48,17:36,48,80,08:48,44
V3,07:20,14:58,28,80,07:38,59
V4,07:22,17:21,25,80,09:59,88
V5,09:36,17:40,41,80,08:04,80
V6,07:51,16:45,25,80,08:54,55
V7,06:37,16:59,39,80,10:22,66
V8,06:58,16:55,22,80,09:57,72
V9,08:29,17:49,44,80,09:20,45
V10,06:54,15:41,37,80,08:47,74
V11,07:48,19:03,19,80,11:15,89
V12,07:33,15:24,28,80,07:51,88
V13,11:49,20:55,55,80,09:06,43
V14,07:17,15:43,58,80,08:26,44
V15,08:05,16:44,23,80,08:39,86
V16,09:29,16:48,60,80,07:19,81
V17,07:49,16:25,44,80,08:36,60
V18,07:04,14:46,21,80,07:42,58
V19,06:25,15:09,22,80,08:44,64
V20,07:37,14:55,31,80,07:18,63
V21,06:44,17:20,17,80,10:36,53
V22,07:30,16:32,47,80,09:02,41
V23,07:20,15:40,32,80,08:20,74
V24,08:58,18:11,23,80,09:13,80
V25,08:20,15:08,17,80,06:48,87
V26,08:54,17:03,16,80,08:09,71
V27,08:23,17:41,54,80,09:18,95
V28,08:35,16:51,47,80,08:16,42
V29,07:38,16:14,50,80,08:36,46
V30,07:05,15:04,40,80,07:59,63
V31,08:51,18:43,47,80,09:52,39
V32,07:08,15:33,34,80,08:25,89
V33,07:57,17:12,15,80,09:15,92
V34,09:11,18:45,42,80,09:34,92
V35,08:46,19:05,38,80,10:19,84
V36,05:19,14:39,19,80,09:20,61
V37,08:41,16:31,30,80,07:50,99
V38,06:55,16:38,19,80,09:43,99
V39,08:22,18:10,33,80,09:48,97
V40,06:23,15:49,26,80,09:26,99
V41,07:41,17:26,29,80,09:45,59
V42,07:51,16:36,45,80,08:45,77
V43,09:12,19:55,18,80,10:43,80
V44,06:05,16:09,24,80,10:04,80
V45,06:34,15:10,34,80,08:36,46
V46,08:56,17:57,32,80,09:01,76
V47,07:04,17:31,20,80,10:27,78
V48,08:23,16:56,21,80,08:33,50
V49,08:28,16:52,15,80,08:24,48
V50,07:45,17:50,43,80,10:05,47
V51,08:53,17:41,20,80,08:48,56
V52,07:46,16:57,34,80,09:11,64
V53,08:52,17:06,18,80,08:14,55
V54,06:40,14:00,45,80,07:20,52
V55,07:31,17:44,51,80,10:13,100
V56,06:32,18:59,36,80,12:27,53
V57,08:08,16:45,44,80,08:37,90
V58,09:31,17:55,21,80,08:24,94
V59,10:17,18:57,56,80,08:40,47
V60,07:30,14:59,16,80,07:29,50
V61,12:14,20:46,25,80,08:32,92
V62,09:04,17:35,28,80,08:31,87
V63,08:24,17:07,22,80,08:43,78
V64,09:09,19:05,13,80,09:56,81
V65,09:58,15:00,56,80,05:02,54
V66,08:38,18:03,28,80,09:25,93
V67,07:05,16:10,42,80,09:05,83
V68,10:12,18:13,46,80,08:01,100
V69,09:08,17:29,12,80,08:21,90
V70,08:11,18:15,59,80,10:04,45
V71,07:25,14:39,53,80,07:14,65
V72,08:52,17:13,60,80,08:21,69
V73,10:24,15:34,24,80,05:10,54
V74,08:21,17:15,11,80,08:54,58
V75,06:27,15:07,34,80,08:40,68
V76,10:17,19:34,40,80,09:17,87
V77,09:21,17:24,29,80,08:03,72
V78,07:24,15:01,46,80,07:37,68
V79,06:33,12:52,58,80,06:19,85
V80,10:29,18:08,16,80,07:39,45
V81,09:01,16:09,54,80,07:08,98
V82,08:30,17:33,14,80,09:03,46
V83,08:05,16:04,41,80,07:59,47
V84,08:04,16:36,50,80,08:32,73
V85,08:27,16:52,21,80,08:25,47
V86,07:43,14:54,16,80,07:11,88
V87,08:50,18:08,59,80,09:18,88
V88,10:07,20:08,37,80,10:01,65
V89,11:01,17:03,59,80,06:02,53
V90,07:50,15:25,13,80,07:35,82
V91,07:52,16:52,12,80,09:00,100
V92,09:08,16:13,18,80,07:05,64
V93,11:17,20:24,16,80,09:07,62
V94,09:52,17:17,51,80,07:25,67
V95,06:49,15:03,43,80,08:14,73
V96,09:22,15:59,37,80,06:37,82
V97,08:21,14:26,53,80,06:05,87
V98,08:26,18:28,14,80,10:02,76
V99,08:57,14:02,49,80,05:05,58
V100,08:34,17:17,18,80,08:43,52
V101,07:52,16:02,25,80,08:10,58
V102,07:38,17:31,45,80,09:53,87
V103,09:31,17:54,22,80,08:23,90
V104,10:16,19:31,22,80,09:15,65
V105,09:21,14:46,55,80,05:25,56
V106,10:42,18:59,19,80,08:17,88
V107,10:30,18:54,53,80,08:24,86
V108,07:01,15:24,48,80,08:23,59
V109,09:17,17:12,34,80,07:55,81
V110,08:13,14:42,14,80,06:29,68
V111,11:46,19:52,17,80,08:06,98
V112,07:13,15:19,31,80,08:06,59
V113,14:48,22:53,48,80,08:05,76
V114,04:19,12:22,25,80,08:03,57
V115,10:27,12:27,36,80,02:00,41
V116,09:26,11:24,60,80,01:58,40
V117,09:06,17:12,55,80,08:06,61
V118,08:36,16:40,22,80,08:04,83
V119,06:21,14:26,35,80,08:05,63
V120,09:40,17:46,60,80,08:06,75
V121,12:16,20:20,49,80,08:04,63
V122,11:26,19:32,45,80,08:06,96
V123,04:50,12:55,43,80,08:05,78
V124,08:54,10:53,46,80,01:59,50
V125,06:24,08:23,36,80,01:59,41
V126,08:59,17:05,49,80,08:06,96
V127,09:10,17:15,40,80,08:05,57
V128,05:52,13:57,24,80,08:05,85
V129,12:07,20:13,16,80,08:06,68
V130,10:24,18:30,43,80,08:06,78
V131,09:09,17:14,59,80,08:05,88
V132,09:17,17:21,42,80,08:04,58
V133,04:34,12:39,33,80,08:05,84
V134,13:01,21:06,40,80,08:05,92
V135,11:17,19:22,33,80,08:05,49
V136,11:01,19:07,42,80,08:06,58
V137,10:32,12:31,43,80,01:59,47
V138,06:54,14:58,56,80,08:04,62
V139,08:38,16:43,25,80,08:05,95
V140,11:51,19:57,13,80,08:06,88
V141,12:59,14:59,43,80,02:00,47
V142,06:30,08:28,40,80,01:58,44
V143,09:44,17:50,24,80,08:06,83
V144,09:32,17:38,50,80,08:06,96
V145,08:50,16:54,33,80,08:04,89
V146,05:55,14:01,52,80,08:06,68
V147,05:26,13:31,10,80,08:05,82
V148,16:23,22:59,30,80,06:36,61
V149,11:11,14:50,14,80,03:39,53
V150,17:27,22:09,35,80,04:42,86
V151,10:29,15:50,52,80,05:21,77
V152,10:28,17:28,50,80,07:00,39
V153,16:01,21:02,37,80,05:01,92
V154,11:40,17:56,39,80,06:16,39
V155,15:41,22:54,47,80,07:13,63
V156,14:43,17:46,44,80,03:03,73
V157,09:47,15:58,48,80,06:11,89
V158,23:37,28:01,60,80,04:24,89
V159,10:02,13:46,13,80,03:44,54
V160,19:53,28:52,42,80,08:59,90
V161,10:20,14:31,43,80,04:11,100
V162,10:48,19:13,16,80,08:25,85
V163,18:44,24:34,41,80,05:50,100
V164,11:25,24:02,24,80,12:37,58
V165,15:47,19:24,40,80,03:37,81
V166,18:08,23:57,29,80,05:49,72
V167,12:25,15:13,31,80,02:48,53
V168,10:15,17:09,34,80,06:54,83
V169,22:44,29:11,28,80,06:27,44
V170,05:19,08:56,56,80,03:37,41
V171,11:13,17:35,22,80,06:22,98
V172,09:20,12:49,41,80,03:29,66
V173,06:25,10:19,30,80,03:54,51
V174,12:06,22:15,50,80,10:09,96
V175,12:39,16:41,30,80,04:02,75
V176,14:19,17:40,11,80,03:21,45
V177,13:33,17:06,31,80,03:33,67
V178,16:37,19:40,52,80,03:03,60
V179,11:53,16:03,30,80,04:10,77
V180,04:05,07:58,59,80,03:53,73
V181,17:31,26:06,58,80,08:35,50
V182,14:29,20:01,47,80,05:32,51
V183,18:29,21:35,38,80,03:06,66
V184,17:13,20:14,45,80,03:01,45
V185,15:50,22:23,14,80,06:33,39
V186,15:06,17:44,60,80,02:38,61
V187,17:05,21:00,49,80,03:55,97
V188,17:55,21:19,52,80,03:24,52
V189,09:19,15:05,10,80,05:46,48
V190,16:32,26:35,34,80,10:03,51
V191,14:00,17:53,29,80,03:53,71
V192,09:20,12:16,46,80,02:56,74
V193,16:05,20:15,57,80,04:10,85
V194,19:19,22:12,59,80,02:53,66
V195,14:54,16:48,59,80,01:54,47
V196,13:11,15:40,42,80,02:29,58
V197,10:57,14:38,13,80,03:41,42
V198,14:50,17:55,35,80,03:05,40
V199,12:10,19:55,12,80,07:45,80
V200,12:52,19:02,56,80,06:10,48
V201,10:48,19:23,60,80,08:35,72
V202,17:55,20:17,48,80,02:22,63
V203,10:50,13:15,47,80,02:25,63
V204,10:52,15:05,55,80,04:13,55
V205,15:49,19:03,58,80,03:14,61
V206,15:39,21:35,42,80,05:56,50
V207,16:54,26:32,45,80,09:38,55
V208,13:38,19:51,30,80,06:13,49
V209,17:52,21:20,18,80,03:28,53
V210,13:00,14:58,44,80,01:58,48
V211,16:33,20:05,56,80,03:32,52
V212,11:45,15:24,28,80,03:39,42
V213,20:01,23:34,48,80,03:33,89
V214,22:31,31:08,44,80,08:37,58
V215,15:55,20:43,32,80,04:48,92
V216,13:59,22:39,56,80,08:40,39
V217,16:17,20:54,37,80,04:37,96
V218,17:10,20:23,55,80,03:13,67
V219,17:01,30:35,51,80,13:34,97
V220,15:28,19:52,39,80,04:24,96
V221,10:35,13:56,49,80,03:21,91
V222,03:58,11:21,18,80,07:23,93
V223,14:00,21:36,26,80,07:36,42
V224,16:43,20:32,39,80,03:49,83
V225,16:45,21:13,53,80,04:28,58
V226,15:50,17:28,48,80,01:38,43
V227,13:36,16:17,49,80,02:41,58
V228,09:10,15:48,52,80,06:38,39
V229,10:42,13:41,58,80,02:59,90
V230,07:05,10:49,25,80,03:44,64
V231,00:25,03:40,27,80,03:15,47
V232,07:26,13:47,13,80,06:21,71
V233,07:46,12:56,41,80,05:10,70
V234,03:32,11:09,11,80,07:37,94
V235,22:43,29:28,23,80,06:45,61
V236,02:00,06:42,22,80,04:42,45
V237,02:49,17:34,44,80,14:45,92
V238,11:03,17:24,38,80,06:21,85
V239,15:06,17:18,59,80,02:12,51
V240,07:05,10:43,42,80,03:38,41
V241,05:57,11:20,33,80,05:23,96
V242,20:24,25:28,23,80,05:04,84
V243,16:21,25:26,54,80,09:05,76
V244,14:59,19:16,32,80,04:17,44
V245,02:50,11:54,10,80,09:04,47
V246,20:29,24:05,26,80,03:36,41
V247,03:04,18:01,57,80,14:57,45
V248,22:02,26:41,53,80,04:39,76
V249,09:38,13:14,41,80,03:36,81
V250,14:33,21:12,10,80,06:39,52
V251,18:29,21:01,22,80,02:32,41
V252,13:21,16:48,59,80,03:27,90
V253,10:15,15:57,50,80,05:42,51
V254,07:14,16:03,15,80,08:49,84
V255,19:03,25:05,10,80,06:02,42
V256,13:41,20:25,32,80,06:44,58
V257,12:28,20:11,36,80,07:43,93
V258,16:28,21:43,16,80,05:15,46
V259,15:57,21:14,26,80,05:17,42
V260,17:16,23:54,59,80,06:38,85
V261,09:38,17:50,15,80,08:12,56
V262,14:53,18:09,25,80,03:16,56
V263,04:56,11:12,58,80,06:16,65
V264,20:56,44:56,20,80,24:00,92
V265,14:59,19:58,45,80,04:59,61
V266,14:37,32:36,17,80,17:59,90
V267,15:11,24:44,52,80,09:33,76
V268,18:42,38:39,37,80,19:57,44
V269,19:49,26:34,57,80,06:45,43
V270,08:21,14:55,10,80,06:34,64
V271,08:36,19:18,56,80,10:42,85
V272,18:42,29:07,55,80,10:25,62
V273,11:21,17:31,25,80,06:10,70
V274,18:22,29:04,39,80,10:42,40
V275,17:22,25:04,25,80,07:42,75
V276,14:08,18:40,32,80,04:32,87
V277,04:52,12:19,49,80,07:27,71
V278,15:12,22:01,26,80,06:49,40
V279,13:37,20:25,22,80,06:48,94
V280,12:15,14:04,43,80,01:49,43
V281,17:20,19:10,48,80,01:50,49
V282,13:47,19:07,47,80,05:20,63
V283,14:29,19:24,24,80,04:55,40
V284,08:37,11:19,46,80,02:42,68
V285,14:42,27:29,45,80,12:47,73
V286,11:28,19:17,48,80,07:49,98
V287,13:23,21:35,39,80,08:12,70
V288,14:32,24:34,21,80,10:02,84
V289,13:51,21:56,28,80,08:05,99
V290,12:20,20:54,50,80,08:34,74
V291,14:45,17:48,56,80,03:03,68
V292,14:54,21:44,24,80,06:50,44
V293,11:29,27:10,32,80,15:41,66
V294,18:48,32:34,28,80,13:46,56
V295,20:44,35:27,19,80,14:43,43
V296,16:35,31:39,40,80,15:04,46
V297,21:27,33:50,50,80,12:23,57
V298,18:37,32:16,59,80,13:39,46
V299,17:16,28:27,41,80,11:11,60
V300,20:57,34:39,23,80,13:42,46
V301,21:18,30:58,57,80,09:40,97
V302,18:38,30:12,21,80,11:34,75
V303,17:52,27:33,12,80,09:41,82
V304,18:30,30:10,14,80,11:40,45
V305,23:04,33:36,31,80,10:32,94
V306,19:47,32:44,24,80,12:57,57
V307,21:37,35:12,41,80,13:35,55
V308,17:50,33:00,59,80,15:10,91
V309,21:36,33:23,43,80,11:47,56
V310,17:26,30:53,29,80,13:27,76
V311,19:39,31:19,35,80,11:40,39
V312,18:53,29:39,30,80,10:46,82
V313,19:00,34:34,26,80,15:34,90
V314,17:11,32:34,46,80,15:23,60
V315,16:30,29:03,27,80,12:33,95
V316,19:27,31:52,51,80,12:25,99
V317,18:19,30:22,38,80,12:03,54
V318,17:07,29:44,31,80,12:37,71
V319,19:26,34:07,54,80,14:41,97
V320,17:24,29:28,58,80,12:04,87
V321,19:05,33:36,45,80,14:31,67
V322,19:21,31:58,12,80,12:37,83
V323,18:33,27:38,26,80,09:05,66
V324,17:39,31:28,14,80,13:49,43
V325,18:07,32:08,42,80,14:01,71
V326,17:24,30:10,51,80,12:46,92
V327,17:25,32:27,15,80,15:02,76
V328,20:15,32:16,33,80,12:01,64
V329,17:08,30:00,44,80,12:52,99
V330,19:07,31:50,57,80,12:43,79
V331,21:38,34:10,18,80,12:32,81
V332,23:15,35:06,13,80,11:51,53
V333,20:00,35:34,41,80,15:34,90
V334,18:49,31:42,12,80,12:53,94
V335,16:28,31:21,43,80,14:53,70
V336,18:07,29:33,43,80,11:26,64
V337,17:36,30:27,28,80,12:51,45
V338,15:59,27:00,56,80,11:01,41
V339,17:12,28:07,30,80,10:55,98
V340,18:28,27:57,27,80,09:29,85
V341,18:37,30:15,13,80,11:38,67
V342,18:24,33:32,24,80,15:08,53
V343,16:55,32:44,20,80,15:49,78
V344,17:58,31:36,28,80,13:38,100
V345,18:03,27:24,37,80,09:21,59
V346,18:13,29:37,57,80,11:24,82
V347,00:00,07:41,44,80,07:41,92
V348,00:00,11:15,51,80,11:15,96
V349,00:00,05:02,45,80,05:02,96
V350,00:00,09:43,30,80,09:43,100
V351,00:00,05:37,35,80,05:37,93
V352,00:00,05:50,14,80,05:50,82
V353,00:00,08:12,25,80,08:12,46
V354,00:00,07:31,36,80,07:31,55
V355,00:00,09:47,46,80,09:47,48
V356,00:00,07:30,53,80,07:30,76
V357,00:00,10:53,13,80,10:53,64
V358,00:00,10:46,26,80,10:46,57
V359,00:00,09:20,46,80,09:20,87
V360,00:00,11:22,30,80,11:22,85
V361,00:00,08:49,19,80,08:49,77
V362,00:00,09:19,49,80,09:19,73
V363,00:00,04:07,43,80,04:07,73
V364,00:00,10:57,39,80,10:57,82
V365,00:00,04:25,36,80,04:25,91
V366,15:33,60:11,24,80,44:38,88
V367,15:36,58:13,34,80,42:37,68
V368,13:37,57:39,40,80,44:02,69
V369,17:26,55:55,39,80,38:29,93
V370,17:27,63:50,17,80,46:23,92
V371,21:37,61:19,26,80,39:42,81
V372,17:43,56:54,41,80,39:11,73
V373,15:29,57:44,53,80,42:15,64
V374,22:18,60:26,45,80,38:08,84
V375,22:05,62:32,32,80,40:27,41
V376,15:37,54:49,50,80,39:12,76
V377,15:53,51:58,56,80,36:05,94
V378,16:32,56:08,32,80,39:36,96
V379,21:49,53:53,35,80,32:04,92
V380,14:04,50:35,52,80,36:31,72
V381,19:07,58:07,16,80,39:00,57
V382,14:08,56:03,48,80,41:55,94
V383,21:17,72:04,32,80,50:47,42
V384,16:21,51:49,58,80,35:28,55
V385,22:08,59:30,13,80,37:22,81
V386,18:57,62:39,40,80,43:42,49
V387,14:50,58:44,12,80,43:54,84
V388,20:57,61:05,52,80,40:08,96
V389,16:21,58:01,41,80,41:40,58
V390,21:26,64:19,36,80,42:53,44
V391,17:36,59:51,10,80,42:15,51
V392,15:09,50:29,50,80,35:20,40
V393,20:43,59:20,13,80,38:37,63
V394,18:48,60:19,57,80,41:31,78
V395,22:58,60:49,57,80,37:51,95
V396,22:05,56:37,46,80,34:32,93
V397,00:00,33:00,17,80,33:00,39
V398,00:00,37:37,17,80,37:37,40
V399,00:00,40:10,33,80,40:10,57
V400,00:00,30:17,26,80,30:17,66
V401,00:00,32:15,12,80,32:15,79
V402,00:00,39:00,43,80,39:00,45
V403,00:00,44:46,44,80,44:46,60
V404,00:00,36:47,51,80,36:47,82
V405,18:09,36:19,51,80,18:10,40
V406,21:24,33:24,19,80,12:00,68
V407,16:49,98:18,56,80,81:29,95
V408,16:58,44:44,50,80,27:46,79
V409,17:42,39:14,43,80,21:32,84
V410,16:07,38:13,49,80,22:06,90
V411,23:42,27:34,38,80,03:52,41
V412,15:55,37:27,55,80,21:32,51
V413,16:30,62:54,34,80,46:24,70
V414,17:00,42:44,15,80,25:44,84
V415,16:42,52:02,27,80,35:20,48
V416,19:02,151:21,28,80,132:19,71
V417,19:23,68:56,42,80,49:33,39
V418,17:48,116:33,23,80,98:45,61
